first_guess,answer,final_guess,n_guesses,play_time,agent
soare,cigar,cigar,4,0.0650479793548584,MaxInfoAgent
soare,rebut,rebut,4,0.019316911697387695,MaxInfoAgent
soare,sissy,sissy,4,0.006853818893432617,MaxInfoAgent
soare,humph,humph,4,0.01895880699157715,MaxInfoAgent
soare,awake,awake,5,0.0312809944152832,MaxInfoAgent
soare,blush,blush,5,0.012839078903198242,MaxInfoAgent
soare,focal,focal,5,0.007546901702880859,MaxInfoAgent
soare,evade,evade,4,0.023309707641601562,MaxInfoAgent
soare,naval,naval,4,0.009821891784667969,MaxInfoAgent
soare,serve,serve,3,0.00875091552734375,MaxInfoAgent
soare,heath,heath,4,0.017277002334594727,MaxInfoAgent
soare,dwarf,dwarf,3,0.003092050552368164,MaxInfoAgent
soare,model,model,4,0.005491971969604492,MaxInfoAgent
soare,karma,karma,3,0.021173954010009766,MaxInfoAgent
soare,stink,stink,3,0.00793910026550293,MaxInfoAgent
soare,grade,grade,3,0.006762981414794922,MaxInfoAgent
soare,quiet,quiet,4,0.02516913414001465,MaxInfoAgent
soare,bench,bench,3,0.01842212677001953,MaxInfoAgent
soare,abate,abate,5,0.019483089447021484,MaxInfoAgent
soare,feign,feign,4,0.021300077438354492,MaxInfoAgent
soare,major,major,4,0.017138004302978516,MaxInfoAgent
soare,death,death,3,0.009001970291137695,MaxInfoAgent
soare,fresh,fresh,4,0.00792074203491211,MaxInfoAgent
soare,crust,crust,3,0.004602193832397461,MaxInfoAgent
soare,stool,stool,5,0.013817071914672852,MaxInfoAgent
soare,colon,colon,3,0.021090030670166016,MaxInfoAgent
soare,abase,abase,4,0.019069194793701172,MaxInfoAgent
soare,marry,marry,5,0.010732889175415039,MaxInfoAgent
soare,react,react,4,0.013091087341308594,MaxInfoAgent
soare,batty,batty,4,0.01642012596130371,MaxInfoAgent
soare,pride,pride,6,0.01251983642578125,MaxInfoAgent
soare,floss,floss,3,0.00845789909362793,MaxInfoAgent
soare,helix,helix,4,0.008888006210327148,MaxInfoAgent
soare,croak,croak,4,0.01218414306640625,MaxInfoAgent
soare,staff,staff,6,0.015558958053588867,MaxInfoAgent
soare,paper,paper,5,0.00798797607421875,MaxInfoAgent
soare,unfed,unfed,4,0.018327951431274414,MaxInfoAgent
soare,whelp,whelp,4,0.0087738037109375,MaxInfoAgent
soare,trawl,trawl,5,0.013637781143188477,MaxInfoAgent
soare,outdo,outdo,4,0.006198883056640625,MaxInfoAgent
soare,adobe,adobe,3,0.002801179885864258,MaxInfoAgent
soare,crazy,crazy,4,0.00473332405090332,MaxInfoAgent
soare,sower,sower,3,0.0028121471405029297,MaxInfoAgent
soare,repay,repay,5,0.008132219314575195,MaxInfoAgent
soare,digit,digit,4,0.009917974472045898,MaxInfoAgent
soare,crate,crate,2,0.002708911895751953,MaxInfoAgent
soare,cluck,cluck,4,0.011628150939941406,MaxInfoAgent
soare,spike,spike,5,0.005772113800048828,MaxInfoAgent
soare,mimic,mimic,4,0.01547384262084961,MaxInfoAgent
soare,pound,pound,4,0.013168811798095703,MaxInfoAgent
soare,maxim,maxim,4,0.014153003692626953,MaxInfoAgent
soare,linen,linen,4,0.009351015090942383,MaxInfoAgent
soare,unmet,unmet,4,0.010197877883911133,MaxInfoAgent
soare,flesh,flesh,3,0.008592844009399414,MaxInfoAgent
soare,booby,booby,4,0.009952068328857422,MaxInfoAgent
soare,forth,forth,4,0.0046198368072509766,MaxInfoAgent
soare,first,first,3,0.00433802604675293,MaxInfoAgent
soare,stand,stand,4,0.007785797119140625,MaxInfoAgent
soare,belly,belly,4,0.018862009048461914,MaxInfoAgent
soare,ivory,ivory,4,0.007386684417724609,MaxInfoAgent
soare,seedy,seedy,4,0.009205102920532227,MaxInfoAgent
soare,print,print,4,0.01251983642578125,MaxInfoAgent
soare,yearn,yearn,3,0.0028328895568847656,MaxInfoAgent
soare,drain,drain,4,0.0047419071197509766,MaxInfoAgent
soare,bribe,bribe,5,0.00673985481262207,MaxInfoAgent
soare,stout,stout,4,0.0056209564208984375,MaxInfoAgent
soare,panel,panel,3,0.009884834289550781,MaxInfoAgent
soare,crass,crass,3,0.009445667266845703,MaxInfoAgent
soare,flume,flume,3,0.0058019161224365234,MaxInfoAgent
soare,offal,offal,3,0.0076329708099365234,MaxInfoAgent
soare,agree,agree,3,0.0030841827392578125,MaxInfoAgent
soare,error,error,3,0.0030579566955566406,MaxInfoAgent
soare,swirl,swirl,3,0.003100872039794922,MaxInfoAgent
soare,argue,argue,3,0.009046077728271484,MaxInfoAgent
soare,bleed,bleed,4,0.021046161651611328,MaxInfoAgent
soare,delta,delta,3,0.005653858184814453,MaxInfoAgent
soare,flick,flick,3,0.013978958129882812,MaxInfoAgent
soare,totem,totem,3,0.008661031723022461,MaxInfoAgent
soare,wooer,wooer,3,0.010324954986572266,MaxInfoAgent
soare,front,front,4,0.00556492805480957,MaxInfoAgent
soare,shrub,shrub,2,0.002541065216064453,MaxInfoAgent
soare,parry,parry,4,0.011941909790039062,MaxInfoAgent
soare,biome,biome,4,0.005085945129394531,MaxInfoAgent
soare,lapel,lapel,3,0.007462024688720703,MaxInfoAgent
soare,start,start,4,0.004457950592041016,MaxInfoAgent
soare,greet,greet,5,0.014486074447631836,MaxInfoAgent
soare,goner,goner,6,0.01654195785522461,MaxInfoAgent
soare,golem,golem,3,0.01021122932434082,MaxInfoAgent
soare,lusty,lusty,6,0.02286815643310547,MaxInfoAgent
soare,loopy,loopy,4,0.016283035278320312,MaxInfoAgent
soare,round,round,3,0.003523111343383789,MaxInfoAgent
soare,audit,audit,3,0.016002893447875977,MaxInfoAgent
soare,lying,lying,3,0.0072269439697265625,MaxInfoAgent
soare,gamma,gamma,4,0.0191800594329834,MaxInfoAgent
soare,labor,labor,4,0.004425048828125,MaxInfoAgent
soare,islet,islet,4,0.014571189880371094,MaxInfoAgent
soare,civic,civic,4,0.00961923599243164,MaxInfoAgent
soare,forge,forge,2,0.002584218978881836,MaxInfoAgent
soare,corny,corny,4,0.009616851806640625,MaxInfoAgent
soare,moult,moult,4,0.008862018585205078,MaxInfoAgent
soare,basic,basic,4,0.01493215560913086,MaxInfoAgent
soare,salad,salad,3,0.00444793701171875,MaxInfoAgent
soare,agate,agate,3,0.003108978271484375,MaxInfoAgent
soare,spicy,spicy,4,0.006186008453369141,MaxInfoAgent
soare,spray,spray,3,0.011794090270996094,MaxInfoAgent
soare,essay,essay,3,0.00645899772644043,MaxInfoAgent
soare,fjord,fjord,3,0.0029020309448242188,MaxInfoAgent
soare,spend,spend,4,0.011976957321166992,MaxInfoAgent
soare,kebab,kebab,4,0.013331174850463867,MaxInfoAgent
soare,guild,guild,4,0.010008811950683594,MaxInfoAgent
soare,aback,aback,5,0.007812976837158203,MaxInfoAgent
soare,motor,motor,3,0.003340005874633789,MaxInfoAgent
soare,alone,alone,4,0.009812116622924805,MaxInfoAgent
soare,hatch,latch,6,0.01683187484741211,MaxInfoAgent
soare,hyper,hyper,5,0.01626110076904297,MaxInfoAgent
soare,thumb,thumb,3,0.017454862594604492,MaxInfoAgent
soare,dowry,dowry,2,0.002611875534057617,MaxInfoAgent
soare,ought,ought,3,0.006353855133056641,MaxInfoAgent
soare,belch,belch,3,0.014625787734985352,MaxInfoAgent
soare,dutch,dutch,5,0.01178121566772461,MaxInfoAgent
soare,pilot,pilot,4,0.016968965530395508,MaxInfoAgent
soare,tweed,tweed,3,0.008231878280639648,MaxInfoAgent
soare,comet,comet,3,0.0037009716033935547,MaxInfoAgent
soare,jaunt,haunt,6,0.02168107032775879,MaxInfoAgent
soare,enema,enema,4,0.00884389877319336,MaxInfoAgent
soare,steed,steed,4,0.006824970245361328,MaxInfoAgent
soare,abyss,abyss,3,0.018268346786499023,MaxInfoAgent
soare,growl,growl,4,0.012144088745117188,MaxInfoAgent
soare,fling,fling,4,0.009320974349975586,MaxInfoAgent
soare,dozen,dozen,4,0.008786916732788086,MaxInfoAgent
soare,boozy,boozy,4,0.01879596710205078,MaxInfoAgent
soare,erode,erode,4,0.00733494758605957,MaxInfoAgent
soare,world,world,4,0.011767864227294922,MaxInfoAgent
soare,gouge,gouge,4,0.016479015350341797,MaxInfoAgent
soare,click,click,5,0.022745847702026367,MaxInfoAgent
soare,briar,briar,4,0.008842945098876953,MaxInfoAgent
soare,great,great,3,0.0062367916107177734,MaxInfoAgent
soare,altar,altar,4,0.006159067153930664,MaxInfoAgent
soare,pulpy,pulpy,4,0.025176048278808594,MaxInfoAgent
soare,blurt,blurt,3,0.004064083099365234,MaxInfoAgent
soare,coast,coast,2,0.0025429725646972656,MaxInfoAgent
soare,duchy,duchy,4,0.030668020248413086,MaxInfoAgent
soare,groin,groin,3,0.010074138641357422,MaxInfoAgent
soare,fixer,fixer,6,0.012531042098999023,MaxInfoAgent
soare,group,group,4,0.00531315803527832,MaxInfoAgent
soare,rogue,rogue,3,0.00613713264465332,MaxInfoAgent
soare,badly,badly,3,0.017093181610107422,MaxInfoAgent
soare,smart,smart,3,0.0039479732513427734,MaxInfoAgent
soare,pithy,pithy,4,0.019769906997680664,MaxInfoAgent
soare,gaudy,gaudy,4,0.012025117874145508,MaxInfoAgent
soare,chill,chill,5,0.013895273208618164,MaxInfoAgent
soare,heron,heron,3,0.0050089359283447266,MaxInfoAgent
soare,vodka,vodka,3,0.0041811466217041016,MaxInfoAgent
soare,finer,finer,5,0.019489049911499023,MaxInfoAgent
soare,surer,surer,4,0.004559993743896484,MaxInfoAgent
soare,radio,radio,4,0.013118982315063477,MaxInfoAgent
soare,rouge,rouge,3,0.011793136596679688,MaxInfoAgent
soare,perch,perch,3,0.016367197036743164,MaxInfoAgent
soare,retch,retch,4,0.006891012191772461,MaxInfoAgent
soare,wrote,wrote,5,0.0164639949798584,MaxInfoAgent
soare,clock,clock,4,0.006195783615112305,MaxInfoAgent
soare,tilde,tilde,3,0.005153179168701172,MaxInfoAgent
soare,store,swore,6,0.015542984008789062,MaxInfoAgent
